Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Refugee population by country or territory of asylum,SM.POP.REFG,Mexico,MEX,356400,360170,360991,52477,47363,38717,34569,31908,28251,24511,18451,15455,12962,6075,4343,3229,3319,1616,1055,1235,1395,1677,1520,1831,1837,2923,6153,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,1,1,..,..,..,..,..,3,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Moldova,MDA,..,..,..,..,..,..,..,..,..,8,68,159,173,102,57,84,161,151,148,141,148,146,185,250,335,446,394,..
Refugee population by country or territory of asylum,SM.POP.REFG,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,37,34,33,32,32,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,5,11,11,12,1,4,9,6,9,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6926,8528,24741,24019,16364,12874,11198,8476,6462,1771,970,..
Refugee population by country or territory of asylum,SM.POP.REFG,Morocco,MAR,311,322,319,336,336,55,51,57,901,901,2105,2091,2127,2121,2121,219,503,786,766,773,792,736,744,1470,1216,3908,4737,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mozambique,MOZ,420,420,299,202,322,128,198,72,52,220,207,207,207,311,623,1954,2558,2767,3163,3547,4077,4079,4398,4445,4536,5622,4663,..
Refugee population by country or territory of asylum,SM.POP.REFG,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Namibia,NAM,..,136,171,585,1144,1682,2204,2511,3820,7612,27263,30885,21651,19800,14773,5307,5462,6525,6799,7163,7254,6049,1806,2332,1767,1737,1747,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389,506,488,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nepal,NPL,17800,28319,95251,105342,123271,124754,126815,129157,126101,127940,129237,130945,132436,123667,124928,126436,128175,130681,124832,108461,89808,72654,56264,46305,38490,32667,25244,..
Refugee population by country or territory of asylum,SM.POP.REFG,Netherlands,NLD,17337,19020,29739,43538,62163,79960,102588,118071,131490,138646,146180,151928,148362,140886,126805,118189,100574,86587,77600,76008,74961,74598,71909,74707,82494,88536,101702,..
Refugee population by country or territory of asylum,SM.POP.REFG,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,New Zealand,NZL,4666,16760,17310,3942,3668,3758,3788,3646,4097,4800,4923,5264,5757,5807,5350,5307,4906,2740,2716,3289,2307,1934,1517,1403,1349,1337,1348,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nicaragua,NIC,16000,14933,14450,5643,314,577,557,465,474,471,332,325,325,300,292,227,199,184,147,120,64,86,129,189,280,330,325,..
Refugee population by country or territory of asylum,SM.POP.REFG,Niger,NER,792,1385,3699,16692,15070,27622,25845,7376,3691,350,58,83,296,328,344,301,317,319,320,325,314,302,50510,57661,77830,124721,166084,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nigeria,NGA,3571,3573,4782,4829,6026,8118,8486,9071,6780,6941,7270,7200,7355,9171,8395,9019,8768,8460,10124,9127,8747,8806,3154,1694,1239,1395,1347,..
Refugee population by country or territory of asylum,SM.POP.REFG,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Norway,NOR,19581,29054,29846,38375,44617,47607,48409,47381,45334,43440,47693,50128,50432,46109,44046,43034,43336,34522,36101,37826,40260,40691,42822,46106,47043,50389,59452,..
Refugee population by country or territory of asylum,SM.POP.REFG,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,7,7,7,26,78,83,138,138,151,245,316,..
Refugee population by country or territory of asylum,SM.POP.REFG,Pakistan,PAK,3255975,3099891,1629218,1479266,1055435,1202493,1202703,1202734,1202462,1202015,2001466,2198797,1227433,1124298,1290984,1084694,1044462,2035023,1780935,1740711,1900621,1702700,1638456,1616507,1505525,1561162,1352551,..
Refugee population by country or territory of asylum,SM.POP.REFG,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,1,1,1,1,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Panama,PAN,1350,914,1007,964,972,867,867,622,1188,1321,1313,1470,1573,1445,1608,1730,1848,16890,16913,16923,17073,17262,17429,17665,17271,17322,17292,..
Refugee population by country or territory of asylum,SM.POP.REFG,Papua New Guinea,PNG,7099,6098,6686,7670,8461,9601,10176,8198,8198,6666,5863,4941,4941,7491,7627,9999,10183,10003,10006,9703,9698,9377,9383,9378,9510,9510,9529,..
Refugee population by country or territory of asylum,SM.POP.REFG,Paraguay,PRY,66,66,45,52,60,60,53,47,30,19,21,21,21,28,41,50,59,62,75,89,107,124,133,136,153,172,194,..
Refugee population by country or territory of asylum,SM.POP.REFG,Peru,PER,724,683,640,738,659,610,663,750,433,702,687,683,688,718,766,848,911,995,1075,1108,1146,1144,1122,1162,1303,1488,1590,..
Refugee population by country or territory of asylum,SM.POP.REFG,Philippines,PHL,19860,8972,6722,2477,669,783,691,311,307,170,176,136,114,108,107,96,100,106,104,95,243,125,141,182,222,269,382,..
Refugee population by country or territory of asylum,SM.POP.REFG,Poland,POL,..,550,2719,810,393,600,600,835,898,942,1020,1311,1591,1836,2507,4604,6790,10053,12774,15320,15555,15847,15911,16438,15741,14065,11703,..
Refugee population by country or territory of asylum,SM.POP.REFG,Portugal,PRT,867,998,1778,600,248,248,308,319,339,379,433,449,462,418,377,363,333,353,403,389,384,408,483,598,699,853,1129,..
Refugee population by country or territory of asylum,SM.POP.REFG,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Qatar,QAT,..,..,..,..,..,..,..,..,..,6,31,67,46,46,46,46,46,46,13,29,51,80,80,130,133,120,176,..
Refugee population by country or territory of asylum,SM.POP.REFG,Romania,ROU,..,651,520,1170,1170,194,269,640,989,1242,1685,1805,1857,2011,1627,2056,1658,1757,1596,1069,1021,1005,1262,1770,2182,2598,2855,..
Refugee population by country or territory of asylum,SM.POP.REFG,Russian Federation,RUS,..,..,..,..,..,..,246691,237720,128574,80060,26265,17970,14969,9899,1852,1523,1425,1655,3479,4880,4922,3914,3178,3458,235750,314507,228936,..
Refugee population by country or territory of asylum,SM.POP.REFG,Rwanda,RWA,23601,34004,25162,277000,6000,7792,25257,34227,33403,34365,28398,34786,30863,36608,50221,45206,49192,53577,55062,54016,55398,55325,58212,73349,73820,144737,156055,..
Refugee population by country or territory of asylum,SM.POP.REFG,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Saudi Arabia,SAU,..,33261,28660,24025,17965,13169,9852,5833,5531,5562,5309,245268,245290,240835,240552,240701,240772,240742,240572,575,582,599,577,559,561,125,136,..
Refugee population by country or territory of asylum,SM.POP.REFG,Senegal,SEN,58113,71908,71620,73002,72994,66769,65044,57229,60823,21539,20766,20707,20711,20726,20804,20712,20591,20421,33193,22151,20672,20644,14237,14247,14274,14392,14575,..
Refugee population by country or territory of asylum,SM.POP.REFG,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98997,97995,96739,86351,73608,70707,66370,57083,43751,35332,36508,..
Refugee population by country or territory of asylum,SM.POP.REFG,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sierra Leone,SLE,125830,28036,5866,16279,15874,4675,13532,13011,9866,6570,6546,10501,63494,61194,65437,59965,27365,8795,7826,9051,8363,8092,4204,2817,1372,760,683,..
Refugee population by country or territory of asylum,SM.POP.REFG,Singapore,SGP,146,166,115,11,12,112,10,5,5,1,..,2,2,1,1,3,1,10,10,7,7,3,3,3,3,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,3,3,3,3,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Slovak Republic,SVK,..,..,..,1521,159,2339,1387,746,424,443,457,472,444,414,409,368,248,279,317,401,461,546,662,701,799,820,955,..
Refugee population by country or territory of asylum,SM.POP.REFG,Slovenia,SVN,..,..,74100,45000,29156,22314,10014,5135,3465,4382,2816,2411,390,2069,304,251,254,263,268,289,314,142,176,213,257,292,439,..
Refugee population by country or territory of asylum,SM.POP.REFG,Solomon Islands,SLB,..,..,..,..,..,2000,2000,800,210,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Somalia,SOM,460000,..,480,399,388,626,700,622,337,130,558,589,199,368,357,493,669,901,1842,1815,1937,2099,2309,2425,2729,8081,11559,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Africa,ZAF,..,..,..,250000,91894,101408,22645,6819,8388,14538,15063,18605,23344,26558,27683,29714,35086,36736,43546,47974,57899,57899,65233,65987,112192,121645,90958,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105023,202581,229587,248152,263016,262548,..
Refugee population by country or territory of asylum,SM.POP.REFG,Spain,ESP,8303,4003,4036,4997,5361,5852,5688,5532,5939,6714,6987,6806,6780,5900,5686,5374,5275,5147,4661,3970,3820,4228,4510,4637,5798,6457,12943,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sri Lanka,LKA,..,15,21,19,13,16,14,26,29,21,16,17,28,30,63,106,162,182,269,251,223,188,110,145,511,784,597,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Lucia,LCA,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,5,3,1,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sudan,SDN,1031050,729200,725900,745200,727174,674071,393874,374415,391496,390995,414928,349209,328176,138163,141588,147256,196200,222722,181605,186292,178308,139415,152194,159857,277833,309639,421454,..
Refugee population by country or territory of asylum,SM.POP.REFG,Suriname,SUR,..,..,52,50,39,..,..,11,..,..,..,..,..,..,..,..,..,1,1,1,1,..,..,..,..,1,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Swaziland,SWZ,42074,49569,55580,48889,643,712,575,592,592,616,690,690,653,686,704,760,752,789,775,759,759,759,505,507,515,696,705,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sweden,SWE,109663,124470,131073,162402,200791,199212,191171,186725,178795,159513,157220,146491,142193,112167,73408,74915,79913,75078,77038,81356,82629,86615,92872,114175,142207,169520,230103,..
Refugee population by country or territory of asylum,SM.POP.REFG,Switzerland,CHE,40943,45622,51930,56586,75295,82943,84413,83203,81903,82298,57653,58494,54113,50144,47678,48030,48523,45653,46132,46203,48813,50416,50747,52464,62620,73336,82608,..
Refugee population by country or territory of asylum,SM.POP.REFG,Syrian Arab Republic,SYR,284856,296256,309672,353392,366283,373530,375150,383906,391009,384856,390989,399599,408519,417508,437341,458137,1144572,1955236,1567595,1526575,1501442,1242391,975695,666547,677756,581113,562811,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tajikistan,TJK,..,..,3000,300,695,620,1166,2174,3634,4541,15364,15346,3437,3306,1834,1018,929,1133,1799,2679,3131,3323,2248,2048,2026,1969,2719,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tanzania,TZA,265184,288103,292148,564520,883250,829671,498732,570367,543881,622203,680862,646900,689373,649770,602088,548824,485295,435630,321909,118731,109286,131243,101021,102099,88492,211845,281498,..
Refugee population by country or territory of asylum,SM.POP.REFG,Thailand,THA,99821,88164,63625,119232,100817,106565,107962,169154,138332,100133,104965,110711,112614,119053,121139,117053,133117,125643,112932,105297,96675,89253,84479,136499,130238,108261,106426,..
Refugee population by country or territory of asylum,SM.POP.REFG,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,..,..,1,3,3,3,3,1,1,1,1,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Togo,TGO,3477,3406,3353,3280,12370,10876,12589,12682,11816,12113,12223,12257,12294,12395,11285,9287,6328,1328,9377,8531,14051,19270,23540,20613,21778,21953,12476,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,3,3,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,33,37,29,22,18,20,83,113,89,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tunisia,TUN,30,130,111,99,19,199,176,506,528,454,436,97,102,99,90,87,93,101,94,92,89,4097,1435,730,901,665,636,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turkey,TUR,28000,30462,28477,23267,24927,12841,8166,2446,2528,2815,3103,3472,3301,2490,3033,2399,2633,6956,11103,10350,10032,14465,267063,609938,1587374,2541352,2869379,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turkmenistan,TKM,..,..,..,15400,15400,23323,15580,15787,14625,18464,14188,14005,13693,13511,13253,11963,750,125,79,60,62,59,46,45,35,26,26,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,4,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uganda,UGA,145718,162521,196290,286500,286500,229350,264294,188513,204545,218191,236622,199736,217302,230903,250482,257256,272007,228959,162132,127345,135801,139448,197877,220555,385513,477187,940815,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ukraine,UKR,..,..,..,..,5193,5193,3591,4564,6101,2697,2951,2983,2966,2877,2459,2346,2275,7277,7201,7334,3022,3176,2807,2968,3219,3273,3252,..
Refugee population by country or territory of asylum,SM.POP.REFG,United Arab Emirates,ARE,..,..,..,433,381,407,464,519,529,501,562,556,163,160,105,104,174,159,209,279,538,677,631,603,417,663,888,..
Refugee population by country or territory of asylum,SM.POP.REFG,United Kingdom,GBR,43632,43371,64726,80230,85160,90909,98577,107933,121716,148922,186248,233389,260687,276522,298844,303181,301556,299718,292097,269363,238150,193510,149799,126055,117234,123067,118913,..
Refugee population by country or territory of asylum,SM.POP.REFG,United States,USA,464887,513882,579952,623069,631051,623294,607024,563837,533969,521143,508222,515853,485171,452548,420854,379340,843498,281219,279548,275461,264574,264763,262023,263662,267222,273202,272898,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uruguay,URY,87,81,90,138,113,132,138,133,163,87,79,90,99,91,97,121,125,140,145,168,189,174,181,203,272,301,274,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uzbekistan,UZB,..,..,..,8000,8001,2627,2900,3159,1071,1014,38350,39579,44936,44682,44455,43950,1415,1054,821,555,311,214,176,141,125,107,26,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,3,4,4,..,2,2,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Venezuela, RB",VEN,1750,1720,1990,2221,2177,1613,1596,301,158,188,132,59,58,58,244,408,720,200907,201161,201313,201547,202022,203644,204340,173600,173754,172017,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vietnam,VNM,21150,20148,16263,5084,5000,34400,34400,15000,15000,15000,15945,15945,15945,15360,2360,2357,2357,2357,2357,2357,1928,990,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,West Bank and Gaza,PSE,910637,968704,1026771,1084838,1142905,1200972,1249368,1308438,1348288,1384655,1428891,1483394,1532589,1587920,1634952,1685851,1739266,1793901,1836123,1885188,2015855,1895043,1944544,1994493,2051098,2104001,2158274,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Yemen, Rep.",YEM,2938,29977,59680,54450,48306,53453,53546,40964,61382,60477,60545,69468,82803,61881,66384,81937,95794,117363,140169,170854,190092,214740,237182,241288,257645,267173,269763,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zambia,ZMB,138049,140676,142104,141126,141126,129965,131139,165072,168564,206386,250940,284173,246765,226697,173907,155718,120253,112931,83485,56785,47857,45632,25653,23594,25578,26447,29338,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zimbabwe,ZWE,190950,197627,237713,100482,2199,514,595,806,1655,2071,4127,8706,9432,12721,6884,13850,3519,3981,3468,3995,4435,4561,4356,6389,6079,6950,7418,..
Refugee population by country or territory of asylum,SM.POP.REFG,Arab World,ARB,4235545,3811595,4000509,4189545,4352945,4337009,4159630,4243164,4373393,4487654,4639943,4942633,5110748,4932948,5039854,5106930,6444738,7513460,7206343,6955072,7077529,6657656,6638911,7794808,8375066,8304742,8439935,..
Refugee population by country or territory of asylum,SM.POP.REFG,Caribbean small states,CSS,30657,29973,20867,9084,8937,8781,8607,8495,3600,3028,1388,1129,1049,861,732,624,488,381,311,294,220,160,112,94,144,197,113,..
Refugee population by country or territory of asylum,SM.POP.REFG,Central Europe and the Baltics,CEB,45123,75730,522368,339162,219630,239463,188898,84236,40388,42202,36205,37110,24102,23756,22538,25016,26416,29733,32346,32937,32590,32573,28941,30691,38035,44360,43928,..
Refugee population by country or territory of asylum,SM.POP.REFG,Early-demographic dividend,EAR,12040413,12017843,10696624,8713787,7546284,7543793,7480344,7426458,7364627,7528806,8438286,8918865,7504728,7147165,7458802,7199295,8387169,10776141,10126071,10206150,10551850,9932595,9914714,10557981,11937141,13050011,13309417,..
Refugee population by country or territory of asylum,SM.POP.REFG,East Asia & Pacific,EAS,571488,510678,475815,490258,476334,519923,528467,566111,584455,703247,664108,618883,579665,515361,528773,538676,562099,499271,489525,514077,519221,517098,521925,587080,585985,562148,581986,..
Refugee population by country or territory of asylum,SM.POP.REFG,East Asia & Pacific (excluding high income),EAP,453346,429546,396348,424447,407428,446979,450724,490303,505076,628312,594198,551125,510300,449102,456067,464458,484364,472348,463586,485530,492004,488523,487136,547912,545147,519824,534160,..
Refugee population by country or territory of asylum,SM.POP.REFG,East Asia & Pacific (IDA & IBRD countries),TEA,453346,429546,396348,424447,407428,446979,450724,490303,505076,628312,594198,551125,510300,449102,456067,464458,484364,472348,463586,485541,492004,488524,487137,547913,545148,519824,534160,..
Refugee population by country or territory of asylum,SM.POP.REFG,Euro area,EMU,1119112,1103271,1615264,1830111,1798725,1690426,1745548,1531494,1352505,1383776,1260117,1256933,1328112,1304927,1221580,1045387,955391,935144,967056,1012282,1024784,1022620,1058069,694994,784489,972385,1464038,..
Refugee population by country or territory of asylum,SM.POP.REFG,Europe & Central Asia,ECS,1439045,1488231,2992856,3175065,3080064,2959592,3215507,2896284,2660934,2673582,2281109,2285748,2327511,2245203,2127964,1892093,1739173,1589866,1636037,1649545,1610871,1560846,1797327,1775920,3110007,4382921,5193802,..
Refugee population by country or territory of asylum,SM.POP.REFG,Europe & Central Asia (excluding high income),ECA,28000,31113,1016215,959121,821702,769221,970748,863053,805461,779480,493749,459614,409373,375608,366909,320216,258903,155410,175772,164275,140856,136956,376483,716795,1922744,2951510,3192866,..
Refugee population by country or territory of asylum,SM.POP.REFG,Europe & Central Asia (IDA & IBRD countries),TEC,28000,31663,1018934,959931,822095,769821,971348,863888,806359,780422,494769,460925,410964,377444,369416,324820,265693,165463,188546,179595,156411,152803,392394,733233,1938485,2965575,3204569,..
Refugee population by country or territory of asylum,SM.POP.REFG,European Union,EUU,1350436,1382952,2298449,2409948,2324549,2260201,2279166,1972623,1758494,1798544,1707486,1744018,1827472,1784315,1680475,1491705,1398876,1365184,1390548,1414743,1394390,1347063,1339598,977025,1097414,1334077,1887348,..
Refugee population by country or territory of asylum,SM.POP.REFG,Fragile and conflict affected situations,FCS,4381298,3776986,3893547,4214036,5448084,4965160,3875602,3398053,3358591,3479493,3646398,3668024,3711338,3479081,3568869,3620279,4368198,5248454,4900434,5093569,5239521,5060951,4975222,5700953,6552291,6602747,6563014,..
Refugee population by country or territory of asylum,SM.POP.REFG,Heavily indebted poor countries (HIPC),HPC,5630764,4742660,4697253,5476302,6144296,5405334,3883435,3018062,2865880,3032305,3119864,2734109,2734412,2501058,2402802,2226857,2062768,1950301,1714977,1635849,1693627,1932462,1982437,2153925,3106984,3762133,4417448,..
Refugee population by country or territory of asylum,SM.POP.REFG,High income,HIC,2150760,2302052,2893928,3143464,3194007,3056455,3082974,2809011,2599305,2624809,2505970,2790939,2854642,2769686,2641040,2418462,2798880,2203146,2233750,1985417,1962438,1934183,1942507,1584781,1694677,1927342,2464646,..
Refugee population by country or territory of asylum,SM.POP.REFG,IBRD only,IBD,7254481,7484020,8382460,6342987,5801802,5650909,5806615,5725632,5638249,5746235,5482473,5467274,4938380,4486427,4583429,4423189,4986617,5454064,5392802,5501055,5503809,5272257,5617042,7408083,9148818,10070005,10258097,..
Refugee population by country or territory of asylum,SM.POP.REFG,IDA & IBRD total,IBT,16740448,16144870,16100691,14488272,13987405,13159787,11769020,10816913,10604911,10854767,11516884,11369731,9879214,9081793,9257053,8764188,9795372,11967682,11105789,11309226,11555040,11390635,11548258,13168075,15806876,17362584,17914518,..
Refugee population by country or territory of asylum,SM.POP.REFG,IDA blend,IDB,3524710,3475987,2326213,1959501,1392103,1523203,1515358,1523822,1533353,1531508,2430120,2658936,1695431,1585925,1725637,1530987,1431918,2423016,2231935,2334540,2564265,2533902,2418073,2335101,2393142,2521421,2244174,..
Refugee population by country or territory of asylum,SM.POP.REFG,IDA only,IDX,5961257,5184863,5392018,6185784,6793500,5985675,4447047,3567459,3433309,3577024,3604291,3243521,3245403,3009441,2947987,2810012,3376837,4090602,3481052,3473631,3486966,3584476,3513143,3424891,4264916,4771158,5412247,..
Refugee population by country or territory of asylum,SM.POP.REFG,IDA total,IDA,9485967,8660850,7718231,8145285,8185603,7508878,5962405,5091281,4966662,5108532,6034411,5902457,4940834,4595366,4673624,4340999,4808755,6513618,5712987,5808171,6051231,6118378,5931216,5759992,6658058,7292579,7656421,..
Refugee population by country or territory of asylum,SM.POP.REFG,Late-demographic dividend,LTE,1010677,898662,1456425,1431710,1377382,1312768,1567856,1605038,1610360,1528599,1224861,1207671,1196982,1145633,1148038,1130281,1168840,1150485,1153656,1135094,1111412,1085995,1202754,1987259,2510235,2462424,2336919,..
Refugee population by country or territory of asylum,SM.POP.REFG,Latin America & Caribbean,LCN,1188273,890960,881523,125283,109046,93858,88421,83220,65566,61527,37851,37131,40878,38299,36190,37749,40577,530550,350274,367437,373867,377784,380738,382025,352668,337696,321805,..
Refugee population by country or territory of asylum,SM.POP.REFG,Latin America & Caribbean (excluding high income),LAC,1188128,890807,880917,124847,108716,93435,87922,82751,65018,61017,37308,36652,40366,37742,35524,36822,39318,529012,348483,365692,371989,375872,378785,380014,350475,335341,319656,..
Refugee population by country or territory of asylum,SM.POP.REFG,Latin America & the Caribbean (IDA & IBRD countries),TLA,1184285,890960,876057,121618,107044,92021,86679,81880,64419,60460,36797,36095,39873,37463,35395,37043,39910,529935,349749,366982,373417,377358,380308,381596,352324,337316,321423,..
Refugee population by country or territory of asylum,SM.POP.REFG,Least developed countries: UN classification,LDC,5154454,4544317,4789360,5414332,5941773,5227254,3699472,2943632,2868489,3037679,3065660,2693154,2759372,2476180,2404576,2266833,2171614,2085767,1880805,1920287,1954960,2310969,2533521,2757733,3579434,4183517,4848349,..
Refugee population by country or territory of asylum,SM.POP.REFG,Low & middle income,LMY,17654928,17112871,17129603,15575529,15131589,14361573,13019031,12125387,11952900,12239037,12945266,12852371,11410705,10668156,10889627,10445214,11527256,13750607,12927872,13177793,13553912,13268344,13475367,15144547,17840383,19450545,20059322,..
Refugee population by country or territory of asylum,SM.POP.REFG,Low income,LIC,4023845,3659245,3777616,4278528,4784749,4244558,3038463,2301105,2191979,2323095,2286034,1940957,2054477,2001398,1976269,1849472,1713354,1559787,1401478,1227985,1256775,1622878,1768990,1971573,2680236,3242826,3751585,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lower middle income,LMC,7859367,7521490,6941145,6775835,6358537,6260716,6042692,6017846,6148328,6397031,7412051,7666110,6683445,6456297,6624358,6477515,7575354,9441241,8912472,9212102,9568390,9132904,8774929,8962784,9282222,9429427,9389832,..
Refugee population by country or territory of asylum,SM.POP.REFG,Middle East & North Africa,MEA,6858896,7452190,7387352,5887941,5779933,5700322,5779902,5843512,5913189,5932384,6096361,6464801,6093053,5783912,5945544,5935398,7218709,8227068,7989433,7834349,7975540,7424262,7328907,8455220,9046707,8929086,8953050,..
Refugee population by country or territory of asylum,SM.POP.REFG,Middle East & North Africa (excluding high income),MNA,6857116,7373339,7313813,5832978,5731138,5683024,5765388,5833030,5902624,5921581,6083417,6213310,5841547,5536279,5701183,5690469,6974418,7943799,7696877,7809389,7942335,7374102,7269765,8394754,8998709,8886924,8909524,..
